lines,analysis,reference,aligner,method,filtering,mass
9190,resolved_clinvar_genes,grch38,bismark,emseq,combined,200ng
26826,resolved_calls,grch38,bismark,wgbs,combined,10ng
6570,resolved_clinvar_genes,grch38,bismark,wgbs,combined,10ng
10857,resolved_calls,t2t,bismark,emseq,combined,200ng
1617,resolved_clinvar_genes,t2t,bismark,emseq,combined,200ng
2815448,miscalls,t2t,bismark,emseq,combined,200ng
4635,miscalled_clinvar_genes,t2t,bismark,emseq,combined,200ng
10129696,miscalls,grch38,bismark,wgbs,combined,50ng
37249,miscalled_clinvar_genes,grch38,bismark,wgbs,combined,50ng
1102135,resolved_calls,grch38,bismark,wgbs,combined,50ng
36045,resolved_clinvar_genes,grch38,bismark,wgbs,combined,50ng
588773,clinvar_lowmap_calls,t2t,bismark,wgbs,nofilt,50ng
441305,clinvar_lowmap_calls,t2t,bwameth,wgbs,filt,200ng
862761,clinvar_lowmap_calls,t2t,bismark,emseq,nofilt,10ng
563744,clinvar_lowmap_calls,t2t,bismark,wgbs,filt,50ng
455006,clinvar_lowmap_calls,t2t,bwameth,wgbs,nofilt,50ng
433602,clinvar_lowmap_calls,t2t,bismark,wgbs,filt,10ng
447682,clinvar_lowmap_calls,t2t,bwameth,wgbs,nofilt,200ng
337957,clinvar_lowmap_calls,t2t,bwameth,wgbs,nofilt,10ng
562411,clinvar_lowmap_calls,t2t,bismark,wgbs,filt,200ng
754331,clinvar_lowmap_calls,t2t,bwameth,emseq,filt,50ng
803101,clinvar_lowmap_calls,t2t,bwameth,emseq,filt,200ng
675396,clinvar_lowmap_calls,t2t,bwameth,emseq,nofilt,10ng
832143,clinvar_lowmap_calls,t2t,bismark,emseq,filt,10ng
333520,clinvar_lowmap_calls,t2t,bwameth,wgbs,filt,10ng
454879,clinvar_lowmap_calls,t2t,bismark,wgbs,nofilt,10ng
587050,clinvar_lowmap_calls,t2t,bismark,wgbs,nofilt,200ng
766196,clinvar_lowmap_calls,t2t,bwameth,emseq,nofilt,50ng
810251,clinvar_lowmap_calls,t2t,bwameth,emseq,nofilt,200ng
448636,clinvar_lowmap_calls,t2t,bwameth,wgbs,filt,50ng
927235,clinvar_lowmap_calls,t2t,bismark,emseq,filt,50ng
961554,clinvar_lowmap_calls,t2t,bismark,emseq,nofilt,50ng
1000884,clinvar_lowmap_calls,t2t,bismark,emseq,nofilt,200ng
666547,clinvar_lowmap_calls,t2t,bwameth,emseq,filt,10ng
1427043,clinvar_lowmap_calls,grch38,bwameth,wgbs,nofilt,10ng
2467801,clinvar_lowmap_calls,grch38,bismark,emseq,filt,50ng
2632796,clinvar_lowmap_calls,grch38,bwameth,emseq,nofilt,200ng
2554859,clinvar_lowmap_calls,grch38,bwameth,emseq,nofilt,50ng
1794227,clinvar_lowmap_calls,grch38,bwameth,wgbs,nofilt,200ng
1528852,clinvar_lowmap_calls,grch38,bwameth,wgbs,filt,50ng
2984973,clinvar_lowmap_calls,grch38,bismark,emseq,nofilt,200ng
2108808,clinvar_lowmap_calls,grch38,bismark,wgbs,nofilt,200ng
2373896,clinvar_lowmap_calls,grch38,bwameth,emseq,nofilt,10ng
1359851,clinvar_lowmap_calls,grch38,bismark,wgbs,filt,10ng
1774947,clinvar_lowmap_calls,grch38,bwameth,wgbs,nofilt,50ng
1526571,clinvar_lowmap_calls,grch38,bwameth,wgbs,filt,200ng
2101313,clinvar_lowmap_calls,grch38,bismark,wgbs,nofilt,50ng
2764094,clinvar_lowmap_calls,grch38,bismark,emseq,nofilt,10ng
2275394,clinvar_lowmap_calls,grch38,bwameth,emseq,filt,50ng
2925231,clinvar_lowmap_calls,grch38,bismark,emseq,nofilt,50ng
1676583,clinvar_lowmap_calls,grch38,bismark,wgbs,filt,50ng
1692483,clinvar_lowmap_calls,grch38,bismark,wgbs,filt,200ng
2094653,clinvar_lowmap_calls,grch38,bwameth,emseq,filt,10ng
1730692,clinvar_lowmap_calls,grch38,bismark,wgbs,nofilt,10ng
2544946,clinvar_lowmap_calls,grch38,bismark,emseq,filt,200ng
2308549,clinvar_lowmap_calls,grch38,bismark,emseq,filt,10ng
2364914,clinvar_lowmap_calls,grch38,bwameth,emseq,filt,200ng
1209719,clinvar_lowmap_calls,grch38,bwameth,wgbs,filt,10ng
967624,clinvar_lowmap_calls,t2t,bismark,emseq,filt,200ng
48125,lowmap_called_genes,t2t,bismark,wgbs,filt,50ng
46241,lowmap_called_genes,t2t,bwameth,wgbs,nofilt,10ng
49698,lowmap_called_genes,t2t,bwameth,emseq,filt,50ng
48379,lowmap_called_genes,t2t,bismark,wgbs,nofilt,200ng
48237,lowmap_called_genes,t2t,bwameth,wgbs,nofilt,50ng
49619,lowmap_called_genes,t2t,bismark,emseq,filt,10ng
48193,lowmap_called_genes,t2t,bismark,wgbs,nofilt,50ng
48313,lowmap_called_genes,t2t,bismark,wgbs,filt,200ng
46389,lowmap_called_genes,t2t,bismark,wgbs,filt,10ng
49718,lowmap_called_genes,t2t,bismark,emseq,nofilt,10ng
49611,lowmap_called_genes,t2t,bwameth,emseq,nofilt,200ng
46479,lowmap_called_genes,t2t,bismark,wgbs,nofilt,10ng
49176,lowmap_called_genes,t2t,bwameth,wgbs,nofilt,200ng
48546,lowmap_called_genes,t2t,bwameth,wgbs,filt,200ng
48213,lowmap_called_genes,t2t,bwameth,wgbs,filt,50ng
46174,lowmap_called_genes,t2t,bwameth,wgbs,filt,10ng
49751,lowmap_called_genes,t2t,bwameth,emseq,nofilt,50ng
49606,lowmap_called_genes,t2t,bwameth,emseq,filt,200ng
50310,lowmap_called_genes,t2t,bismark,emseq,nofilt,50ng
37237,lowmap_called_genes,grch38,bwameth,wgbs,nofilt,50ng
50130,lowmap_called_genes,t2t,bismark,emseq,filt,50ng
50031,lowmap_called_genes,t2t,bismark,emseq,nofilt,200ng
50026,lowmap_called_genes,t2t,bwameth,emseq,nofilt,10ng
36925,lowmap_called_genes,grch38,bwameth,wgbs,nofilt,10ng
37271,lowmap_called_genes,grch38,bwameth,wgbs,nofilt,200ng
37067,lowmap_called_genes,grch38,bwameth,wgbs,filt,200ng
36821,lowmap_called_genes,grch38,bwameth,wgbs,filt,10ng
37504,lowmap_called_genes,grch38,bwameth,emseq,filt,200ng
37051,lowmap_called_genes,grch38,bwameth,wgbs,filt,50ng
37673,lowmap_called_genes,grch38,bwameth,emseq,nofilt,50ng
37646,lowmap_called_genes,grch38,bwameth,emseq,nofilt,200ng
37292,lowmap_called_genes,grch38,bismark,emseq,nofilt,10ng
36433,lowmap_called_genes,grch38,bismark,wgbs,nofilt,10ng
36249,lowmap_called_genes,grch38,bismark,wgbs,filt,10ng
36720,lowmap_called_genes,grch38,bismark,wgbs,nofilt,50ng
37395,lowmap_called_genes,grch38,bwameth,emseq,filt,10ng
37345,lowmap_called_genes,grch38,bismark,emseq,filt,50ng
36605,lowmap_called_genes,grch38,bismark,wgbs,filt,200ng
36780,lowmap_called_genes,grch38,bismark,wgbs,nofilt,200ng
36497,lowmap_called_genes,grch38,bismark,wgbs,filt,50ng
